year,site,pd,d,e,ed90,se,rmse
2022,barc,1,7208,16,36,13,4228.582
2022,barc,2,7475,7,15,11,4491.397
2022,barc,3,4820,23,53,50,3443.448
2023,ct,1,4009,13,30,14,2520.281
2023,ct,2,4615,35,82,35,2497.281
2023,ct,3,8834,208,479,960,2511.202
2022,de,1,3526,10,22,6,1753.937
2022,de,2,2516,6,12,8,1499.406
2022,de,3,2042,10,25,13,1562.602
2023,de,1,2643,10,25,6,1575.272
2023,de,2,1892,16,45,13,1375.22
2023,de,3,1143,43,90,48,1284.326
2022,ma,1,6575,19,45,19,2796.011
2022,ma,2,4857,10,23,15,2458.014
2022,ma,3,3411,39,91,95,2250.873
2023,ma,1,5976,6,13,9,3772.461
2023,ma,2,13493,1,328,19,4128.235
2023,ma,3,2395,28223000000000,65000000000000,23,3385.061
2022,ny,1,5219,22,51,14,2796.011
2022,ny,2,3625,16,38,15,2458.014
2022,ny,3,2314,17,39,21,2250.873
2023,ny,1,6654,15,35,7,2796.011
2023,ny,2,4044,9,20,9,2458.014
2023,ny,3,3257,12,27,13,2250.873
2022,pa,1,5466,32,74,17,2714.768
2022,pa,2,4399,16,37,12,1963.639
2022,pa,3,2928,16,37,18,2207.702
2023,pa,1,5497,15,35,11,1149.056
2023,pa,2,5450,19,44,17,1401.736
2023,pa,3,3781,23,54,19,811.6944
2023,umd,1,5730,7,15,na,883.702
2023,umd,2,6741,1,1,23,2752.038
2023,umd,3,6166,15,36,8,2659.341
2022,vt,1,7641,15,34,15,4367.09
2022,vt,2,6091,22,51,19,3276.905
2022,vt,3,4883,47,108,53,3449.868
2023,vt,1,14614,9,22,8,4367.09
2023,vt,2,12286,10,24,7,3276.905
2023,vt,3,9790,16,36,14,3449.868
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,